fecha,sku_id,nombre_producto,categoria,plataforma,unidades_vendidas,precio_venta,pvp_base,coste_unitario,margen_bruto,descuento_pct,promocion_activa,stock_disponible,precio_decathlon,precio_ortoweb,precio_medicalexpo,precio_comp_min,precio_comp_avg,precio_comp_max,dia_semana,mes,semana_anio,es_festivo,es_blackfriday,es_navidad,ingreso_estimado,margen_estimado_eur,var_precio_comp_min_7d,alerta_bajada_competidor,ventas_lag_1,ventas_lag_7,ventas_lag_30,ventas_media_7d,ventas_media_30d,ratio_precio_mercado,diferencia_precio_min,diferencia_precio_avg
2023-02-21,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,87,171.6,177.06,192.24,171.6,180.3,192.24,1,2,8,0,0,0,2263.8,1303.8,-0.1184,1,5.0,2.0,10.0,3.43,3.43,1.0463,17.05,8.35
2023-02-22,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,85,170.87,184.86,189.63,170.87,181.79,189.63,2,2,8,0,0,0,2263.8,1303.8,-0.1403,1,12.0,5.0,6.0,3.43,3.41,1.0377,17.78,6.86
2023-02-23,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,80,181.51,181.44,185.39,181.44,182.78,185.39,3,2,8,0,0,0,1320.55,760.55,-0.0803,1,12.0,13.0,10.0,3.0,3.35,1.0321,7.21,5.87
2023-02-24,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,7,188.65,189.9,80.0,108.65,0.007,0,73,177.27,192.06,174.0,174.0,181.11,192.06,4,2,8,0,0,0,1509.2,869.2,-0.1497,1,7.0,5.0,3.0,3.57,3.42,1.0416,14.65,7.54
2023-02-25,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,72,173.32,194.42,162.95,162.95,176.9,194.42,5,2,8,0,0,0,1320.55,760.55,-0.049,0,8.0,4.0,7.0,3.86,3.56,1.0664,25.7,11.75
2023-02-26,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,71,161.5,189.04,167.01,161.5,172.52,189.04,6,2,8,0,0,0,943.25,543.25,-0.1346,1,7.0,7.0,8.0,3.57,3.46,1.0935,27.15,16.13
2023-02-27,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,69,159.67,190.69,183.5,159.67,177.95,190.69,0,2,9,0,0,0,1886.5,1086.5,-0.224,1,5.0,5.0,8.0,3.71,3.37,1.0601,28.98,10.7
2023-02-28,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,65,171.33,194.53,172.06,171.33,179.31,194.53,1,2,9,0,0,0,754.6,434.6,-0.1807,1,10.0,12.0,7.0,3.0,3.32,1.0521,17.32,9.34
2023-03-01,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,64,185.98,204.87,168.26,168.26,186.37,204.87,2,3,9,0,0,0,565.95,325.95,-0.2008,1,4.0,12.0,9.0,3.14,3.34,1.0122,20.39,2.28
2023-03-02,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,61,153.59,173.76,196.38,153.59,174.58,196.38,3,3,9,0,0,0,1320.55,760.55,-0.2453,1,3.0,7.0,13.0,3.0,3.27,1.0806,35.06,14.07
2023-03-03,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,57,159.89,182.95,186.67,159.89,176.5,186.67,4,3,9,0,0,0,943.25,543.25,-0.1056,1,7.0,8.0,5.0,2.71,3.27,1.0688,28.76,12.15
2023-03-04,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,53,183.16,167.12,191.91,167.12,180.73,191.91,5,3,9,0,0,0,943.25,543.25,-0.1558,1,5.0,7.0,8.0,2.29,3.33,1.0438,21.53,7.92
2023-03-05,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,51,174.8,189.78,185.84,174.8,183.47,189.78,6,3,9,0,0,0,1131.9,651.9,-0.089,1,5.0,5.0,10.0,2.71,3.3,1.0282,13.85,5.18
2023-03-06,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,46,161.0,191.22,186.69,161.0,179.64,191.22,0,3,10,0,0,0,565.95,325.95,-0.1538,1,6.0,10.0,9.0,2.86,3.2,1.0502,27.65,9.01
2023-03-07,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,41,181.48,170.07,164.5,164.5,172.02,181.48,1,3,10,0,0,0,943.25,543.25,-0.0905,1,3.0,4.0,4.0,3.29,3.27,1.0967,24.15,16.63
2023-03-08,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,38,166.84,189.35,174.25,166.84,176.81,189.35,2,3,10,0,0,0,754.6,434.6,-0.1646,1,5.0,3.0,4.0,3.43,3.3,1.067,21.81,11.84
2023-03-09,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,142,162.24,198.27,168.65,162.24,176.39,198.27,3,3,10,0,0,0,1697.85,977.85,-0.0864,1,4.0,7.0,6.0,3.71,3.4,1.0695,26.41,12.26
2023-03-10,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,142,152.79,193.94,193.88,152.79,180.2,193.94,4,3,10,0,0,0,565.95,325.95,-0.2125,1,9.0,5.0,11.0,3.86,3.4,1.0469,35.86,8.45
2023-03-11,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,141,157.03,173.45,170.9,157.03,167.13,173.45,5,3,10,0,0,0,943.25,543.25,-0.2296,1,3.0,5.0,11.0,3.29,3.2,1.1288,31.62,21.52
2023-03-12,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,138,151.93,168.82,165.47,151.93,162.07,168.82,6,3,10,0,0,0,377.3,217.3,-0.221,1,5.0,6.0,7.0,2.86,3.07,1.164,36.72,26.58
2023-03-13,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,136,156.89,203.97,182.9,156.89,181.25,203.97,0,3,11,0,0,0,1131.9,651.9,-0.1428,1,2.0,3.0,5.0,3.0,3.13,1.0408,31.76,7.4
2023-03-14,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,132,176.76,189.58,187.99,176.76,184.78,189.58,1,3,11,0,0,0,1131.9,651.9,-0.0886,1,6.0,5.0,8.0,2.57,3.13,1.0209,11.89,3.87
2023-03-15,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,132,155.75,168.96,186.15,155.75,170.29,186.15,2,3,11,0,0,0,754.6,434.6,-0.2268,1,6.0,4.0,7.0,2.43,3.13,1.1078,32.9,18.36
2023-03-16,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,130,166.29,199.7,189.23,166.29,185.07,199.7,3,3,11,0,0,0,754.6,434.6,-0.0718,1,4.0,9.0,2.0,2.0,3.0,1.0193,22.36,3.58
2023-03-17,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,128,171.22,201.71,173.03,171.22,181.99,201.71,4,3,11,0,0,0,754.6,434.6,-0.0046,0,4.0,3.0,5.0,1.71,2.97,1.0366,17.43,6.66
2023-03-18,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,126,166.5,190.18,196.6,166.5,184.43,196.6,5,3,11,0,0,0,943.25,543.25,-0.1341,1,4.0,5.0,13.0,2.0,2.87,1.0229,22.15,4.22
2023-03-19,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,125,188.81,179.8,162.45,162.45,177.02,188.81,6,3,11,0,0,0,754.6,434.6,-0.2083,1,5.0,2.0,5.0,2.14,2.9,1.0657,26.2,11.63
2023-03-20,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,121,160.13,185.68,178.23,160.13,174.68,185.68,0,3,12,0,0,0,1131.9,651.9,-0.0902,1,4.0,6.0,4.0,1.86,2.77,1.08,28.52,13.97
2023-03-21,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,121,186.29,182.07,190.81,182.07,186.39,190.81,1,3,12,0,0,0,1131.9,651.9,-0.0468,0,6.0,6.0,7.0,2.14,2.8,1.0121,6.58,2.26
2023-03-22,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,120,169.49,174.17,177.25,169.49,173.64,177.25,2,3,12,0,0,0,565.95,325.95,-0.0707,1,6.0,4.0,5.0,1.57,2.8,1.0864,19.16,15.01
2023-03-23,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,118,182.44,194.57,182.7,182.44,186.57,194.57,3,3,12,0,0,0,1131.9,651.9,-0.0081,0,3.0,4.0,12.0,1.71,2.6,1.0111,6.21,2.08
2023-03-24,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,6,188.65,189.9,80.0,108.65,0.007,0,112,188.66,183.71,184.16,183.71,185.51,188.66,4,3,12,0,0,0,754.6,434.6,-0.094,1,6.0,4.0,12.0,1.71,2.57,1.0169,4.94,3.14
2023-03-25,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,111,161.71,196.54,166.1,161.71,174.78,196.54,5,3,12,0,0,0,377.3,217.3,-0.208,1,4.0,5.0,7.0,2.29,2.7,1.0794,26.94,13.87
2023-03-26,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,111,169.55,178.93,193.09,169.55,180.52,193.09,6,3,12,0,0,0,943.25,543.25,0.0008,0,2.0,4.0,8.0,2.14,2.57,1.045,19.1,8.13
2023-03-27,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,107,181.06,173.15,174.1,173.15,176.1,181.06,0,3,13,0,0,0,3395.7,1955.7,-0.0152,0,5.0,6.0,7.0,2.0,2.33,1.0713,15.5,12.55
2023-03-28,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,105,156.5,181.42,182.52,156.5,173.48,182.52,1,3,13,0,0,0,2263.8,1303.8,-0.1512,1,18.0,6.0,5.0,2.0,2.43,1.0874,32.15,15.17
2023-03-29,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,103,182.26,189.13,176.44,176.44,182.61,189.13,2,3,13,0,0,0,1509.2,869.2,-0.0563,1,12.0,3.0,10.0,2.29,2.47,1.0331,12.21,6.04
2023-03-30,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,100,169.5,183.92,181.91,169.5,178.44,183.92,3,3,13,0,0,0,1697.85,977.85,-0.0956,1,8.0,6.0,4.0,2.43,2.47,1.0572,19.15,10.21
2023-03-31,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,98,172.43,196.75,164.22,164.22,177.8,196.75,4,3,13,0,0,0,1697.85,977.85,-0.0665,1,9.0,4.0,3.0,2.57,2.43,1.061,24.43,10.85
2023-04-01,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,98,168.53,196.51,166.33,166.33,177.12,196.51,5,4,13,0,0,0,1320.55,760.55,-0.1497,1,9.0,2.0,7.0,2.0,2.47,1.0651,22.32,11.53
2023-04-02,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,97,156.14,190.38,196.35,156.14,180.96,196.35,6,4,13,0,0,0,565.95,325.95,-0.1715,1,7.0,5.0,5.0,1.86,2.37,1.0425,32.51,7.69
2023-04-03,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,96,183.7,197.16,167.52,167.52,182.79,197.16,0,4,14,0,0,0,377.3,217.3,-0.1365,1,3.0,18.0,5.0,2.0,2.27,1.0321,21.13,5.86
2023-04-04,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,95,154.73,167.62,173.75,154.73,165.37,173.75,1,4,14,0,0,0,1131.9,651.9,-0.2093,1,2.0,12.0,6.0,1.57,2.17,1.1408,33.92,23.28
2023-04-05,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,93,166.87,172.2,173.68,166.87,170.92,173.68,2,4,14,0,0,0,377.3,217.3,-0.1973,1,6.0,8.0,3.0,1.43,2.13,1.1037,21.78,17.73
2023-04-06,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,91,188.54,201.27,164.52,164.52,184.78,201.27,3,4,14,0,0,0,377.3,217.3,-0.0398,0,2.0,9.0,5.0,1.43,2.03,1.0209,24.13,3.87
2023-04-07,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,91,158.0,170.16,170.4,158.0,166.19,170.4,4,4,14,0,0,0,943.25,543.25,-0.2504,1,2.0,9.0,4.0,1.29,1.93,1.1351,30.65,22.46
2023-04-08,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,90,174.77,171.63,189.83,171.63,178.74,189.83,5,4,14,0,0,0,565.95,325.95,-0.0536,1,5.0,7.0,9.0,1.0,1.83,1.0554,17.02,9.91
2023-04-09,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,87,189.49,175.25,187.33,175.25,184.02,189.49,6,4,14,0,0,0,565.95,325.95,0.0427,0,3.0,3.0,3.0,1.14,1.73,1.0252,13.4,4.63
2023-04-10,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,87,182.73,196.63,176.44,176.44,185.27,196.63,0,4,15,0,0,0,754.6,434.6,-0.0603,1,3.0,2.0,5.0,1.43,1.83,1.0182,12.21,3.38
2023-04-11,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,86,189.38,188.15,192.72,188.15,190.08,192.72,1,4,15,0,0,0,754.6,434.6,-0.0364,0,4.0,6.0,2.0,1.29,1.8,0.9925,0.5,-1.43
2023-04-12,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,85,169.61,191.44,197.64,169.61,186.23,197.64,2,4,15,0,0,0,943.25,543.25,-0.1676,1,4.0,2.0,6.0,1.29,1.73,1.013,19.04,2.42
2023-04-13,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,82,156.35,172.21,162.31,156.35,163.62,172.21,3,4,15,0,0,0,1131.9,651.9,-0.2376,1,5.0,2.0,6.0,1.14,1.7,1.153,32.3,25.03
2023-04-14,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,77,182.92,178.15,180.41,178.15,180.49,182.92,4,4,15,0,0,0,1131.9,651.9,0.0249,0,6.0,5.0,4.0,1.29,1.67,1.0452,10.5,8.16
2023-04-15,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,75,153.51,172.58,188.93,153.51,171.67,188.93,5,4,15,0,0,0,754.6,434.6,-0.1623,1,6.0,3.0,4.0,2.0,1.83,1.0989,35.14,16.98
2023-04-16,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,73,172.17,174.27,171.12,171.12,172.52,174.27,6,4,15,0,0,0,1131.9,651.9,-0.0353,0,4.0,3.0,4.0,2.14,1.83,1.0935,17.53,16.13
2023-04-17,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,68,166.49,169.35,185.96,166.49,173.93,185.96,0,4,16,0,0,0,943.25,543.25,-0.0366,0,6.0,4.0,5.0,2.0,1.83,1.0846,22.16,14.72
2023-04-18,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,67,153.18,172.56,176.78,153.18,167.51,176.78,1,4,16,0,0,0,1509.2,869.2,-0.1304,1,5.0,4.0,4.0,2.71,1.93,1.1262,35.47,21.14
2023-04-19,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,64,168.67,193.28,185.01,168.67,182.32,193.28,2,4,16,0,0,0,1509.2,869.2,-0.0413,0,8.0,5.0,6.0,2.71,1.93,1.0347,19.98,6.33
2023-04-20,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,4,188.65,189.9,80.0,108.65,0.007,0,60,167.27,202.93,173.93,167.27,181.38,202.93,3,4,16,0,0,0,943.25,543.25,-0.1834,1,8.0,6.0,6.0,3.0,1.9,1.0401,21.38,7.27
2023-04-21,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,60,153.54,179.88,183.16,153.54,172.19,183.16,4,4,16,0,0,0,1131.9,651.9,-0.1964,1,5.0,6.0,3.0,3.14,2.03,1.0956,35.11,16.46
2023-04-22,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,0,188.65,189.9,80.0,108.65,0.007,0,60,158.0,181.18,198.08,158.0,179.09,198.08,5,4,16,0,0,0,565.95,325.95,-0.1655,1,6.0,4.0,6.0,2.43,2.0,1.0534,30.65,9.56
2023-04-23,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,2,188.65,189.9,80.0,108.65,0.007,0,58,163.21,196.34,164.86,163.21,174.8,196.34,6,4,16,0,0,0,754.6,434.6,-0.1659,1,3.0,6.0,4.0,2.14,1.93,1.0792,25.44,13.85
2023-04-24,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,57,189.13,194.05,181.14,181.14,188.11,194.05,0,4,17,0,0,0,1131.9,651.9,-0.0651,1,4.0,5.0,2.0,2.14,1.8,1.0029,7.51,0.54
2023-04-25,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,3,188.65,189.9,80.0,108.65,0.007,0,54,164.04,174.58,165.57,164.04,168.06,174.58,1,4,17,0,0,0,565.95,325.95,-0.1795,1,6.0,8.0,5.0,1.57,1.8,1.1225,24.61,20.59
2023-04-26,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,1,188.65,189.9,80.0,108.65,0.007,0,53,179.09,170.69,172.91,170.69,174.23,179.09,2,4,17,0,0,0,1131.9,651.9,-0.1228,1,3.0,8.0,18.0,1.86,1.9,1.0828,17.96,14.42
2023-04-27,AND-001,Andador silla de ruedas 2 en 1 azul,Andadores,Shopify,5,188.65,189.9,80.0,108.65,0.007,0,48,179.0,189.03,161.62,161.62,176.55,189.03,3,4,17,0,0,0,1131.9,651.9,-0.1217,1,6.0,5.0,12.0,1.57,1.8,1.0685,27.03,12.1
